hours,WE,WD,both,site_grouping,month
5,0,0,0,12EDM,October
6,4.612365064,2.836879433,4.227517294,12EDM,October
7,6.771344455,7.80141844,6.994619523,12EDM,October
8,7.163886163,8.156028369,7.378939277,12EDM,October
9,7.26202159,9.574468085,7.763259032,12EDM,October
10,7.55642787,9.929078014,8.070714835,12EDM,October
11,7.065750736,12.05673759,8.147578786,12EDM,October
12,7.458292444,11.70212766,8.378170638,12EDM,October
13,7.654563297,9.929078014,8.147578786,12EDM,October
14,9.322865554,6.382978723,8.685626441,12EDM,October
15,9.322865554,5.673758865,8.53189854,12EDM,October
16,8.439646712,6.028368794,7.916986933,12EDM,October
17,7.948969578,5.673758865,7.455803228,12EDM,October
18,6.378802748,3.191489362,5.68793236,12EDM,October
19,3.042198234,1.063829787,2.613374327,12EDM,October
20,0,0,0,12EDM,October
21,0,0,0,12EDM,October
22,0,0,0,12EDM,October
5,0,0,z,11EDM,October
6,0,0,z,11EDM,October
7,0,0,z,11EDM,October
8,0,0,z,11EDM,October
9,2.78,6.1,z,11EDM,October
10,11.77,7.32,z,11EDM,October
11,13.69,6.71,z,11EDM,October
12,13.59,8.54,z,11EDM,October
13,19.15,10.98,z,11EDM,October
14,9.89,5.49,z,11EDM,October
15,4.02,3.05,z,11EDM,October
16,10.91,1.83,z,11EDM,October
17,10.53,0,z,11EDM,October
18,3.67,0,z,11EDM,October
19,0,0,z,11EDM,October
20,0,0,z,11EDM,October
21,0,0,z,11EDM,October
22,0,0,z,11EDM,October
5,0,0,0,10EDM,October
6,0.75,0.75,0.75,10EDM,October
7,7.231,7.231,7.231,10EDM,October
8,7.257,7.257,7.257,10EDM,October
9,10.31,10.31,10.31,10EDM,October
10,11.67,11.67,11.67,10EDM,October
11,11.15,11.15,11.15,10EDM,October
12,8.781,8.781,8.781,10EDM,October
13,8.156,8.156,8.156,10EDM,October
14,7.732,7.732,7.732,10EDM,October
15,7.423,7.423,7.423,10EDM,October
16,6.809,6.809,6.809,10EDM,October
17,6.65,6.65,6.65,10EDM,October
18,4.926,4.926,4.926,10EDM,October
19,1.156,1.156,1.156,10EDM,October
20,0,0,0,10EDM,October
21,0,0,0,10EDM,October
22,0,0,0,10EDM,October
5,x,y,z,9EDM,October
6,x,y,z,9EDM,October
7,x,y,z,9EDM,October
8,x,y,z,9EDM,October
9,x,y,z,9EDM,October
10,x,y,z,9EDM,October
11,x,y,z,9EDM,October
12,x,y,z,9EDM,October
13,x,y,z,9EDM,October
14,x,y,z,9EDM,October
15,x,y,z,9EDM,October
16,x,y,z,9EDM,October
17,x,y,z,9EDM,October
18,x,y,z,9EDM,October
19,x,y,z,9EDM,October
20,x,y,z,9EDM,October
21,x,y,z,9EDM,October
22,x,y,z,9EDM,October
5,0.136923779,0,9.71E-02,8EDM,October
6,4.107713373,4.730105732,4.288719858,8EDM,October
7,9.675947056,9.515859766,9.629389869,8EDM,October
8,10.97672296,11.57484697,11.15067163,8EDM,October
9,11.45595618,12.91040623,11.87894481,8EDM,October
10,11.57005933,13.18864775,12.0407833,8EDM,October
11,11.06800548,11.57484697,11.21540702,8EDM,October
12,10.22364217,9.79410128,10.09872148,8EDM,October
13,8.466453674,8.069003895,8.350865836,8EDM,October
14,6.503879507,6.399554814,6.473539408,8EDM,October
15,5.294386125,4.674457429,5.114096132,8EDM,October
16,4.244637152,3.394546466,3.997410584,8EDM,October
17,2.96668188,2.281580412,2.767438097,8EDM,October
18,2.350524874,1.725097385,2.168635702,8EDM,October
19,0.958466454,0.166944908,0.728273183,8EDM,October
20,0,0,0,8EDM,October
21,0,0,0,8EDM,October
22,x,y,z,8EDM,October
5,8.23E-02,0,4.64E-02,7EDM,October
6,3.04526749,1.703940362,2.460538533,7EDM,October
7,6.008230453,7.880724175,6.824512535,7EDM,October
8,7.242798354,9.158679446,8.077994429,7EDM,October
9,8.724279835,10.01064963,9.285051068,7EDM,October
10,8.724279835,10.75612354,9.610027855,7EDM,October
11,9.135802469,10.96911608,9.935004643,7EDM,October
12,9.62962963,11.39510117,10.3992572,7EDM,October
13,9.62962963,10.33013845,9.935004643,7EDM,October
14,9.053497942,9.691160809,9.331476323,7EDM,October
15,8.148148148,7.135250266,7.706592386,7EDM,October
16,7.736625514,4.898828541,6.499535747,7EDM,October
17,6.008230453,3.088391906,4.735376045,7EDM,October
18,4.444444444,2.236421725,3.48189415,7EDM,October
19,2.386831276,0.745473908,1.671309192,7EDM,October
20,0,0,0,7EDM,October
21,0,0,0,7EDM,October
22,x,y,z,7EDM,October
5,0,0,0,6EDM,October
6,10.09174312,9.586056645,9.941897999,6EDM,October
7,11.55963303,12.41830065,11.8140736,6EDM,October
8,12.11009174,12.41830065,12.20142027,6EDM,October
9,12.66055046,12.41830065,12.58876695,6EDM,October
10,12.75229358,11.32897603,12.33053583,6EDM,October
11,11.65137615,10.23965142,11.23305358,6EDM,October
12,9.633027523,9.368191721,9.554551323,6EDM,October
13,7.431192661,9.368191721,8.005164622,6EDM,October
14,4.678899083,6.753812636,5.293737895,6EDM,October
15,2.752293578,1.74291939,2.45319561,6EDM,October
16,1.28440367,1.74291939,1.420271143,6EDM,October
17,1.467889908,1.307189542,1.420271143,6EDM,October
18,1.19266055,0.871459695,1.097482247,6EDM,October
19,0.733944954,0.435729847,0.645577792,6EDM,October
20,0,0,0,6EDM,October
21,0,0,0,6EDM,October
22,x,y,z,6EDM,October
5,0,0,0,5EDM,October
6,4.688995215,2.777777778,4.276069017,5EDM,October
7,7.081339713,7.986111111,7.276819205,5EDM,October
8,7.272727273,8.333333333,7.501875469,5EDM,October
9,7.081339713,10.06944444,7.726931733,5EDM,October
10,7.368421053,10.41666667,8.027006752,5EDM,October
11,7.177033493,11.80555556,8.177044261,5EDM,October
12,7.559808612,11.45833333,8.402100525,5EDM,October
13,7.846889952,9.722222222,8.252063016,5EDM,October
14,9.186602871,6.25,8.552138035,5EDM,October
15,9.186602871,5.555555556,8.402100525,5EDM,October
16,8.229665072,5.902777778,7.726931733,5EDM,October
17,7.751196172,5.555555556,7.276819205,5EDM,October
18,6.411483254,3.125,5.701425356,5EDM,October
19,3.157894737,1.041666667,2.700675169,5EDM,October
20,0,0,0,5EDM,October
21,0,0,0,5EDM,October
22,x,y,z,5EDM,October
5,0.292911541,0.241254524,0.280224179,4EDM,October
6,4.862331576,4.342581423,4.603682946,4EDM,October
7,9.080257762,9.288299156,9.127301841,4EDM,October
8,10.25190393,10.37394451,10.28823058,4EDM,October
9,11.01347393,11.33896261,11.00880705,4EDM,October
10,11.71646163,11.70084439,11.60928743,4EDM,October
11,12.00937317,11.94209891,12.04963971,4EDM,October
12,10.83772701,10.01206273,10.60848679,4EDM,October
13,7.55711775,8.805790109,7.966373098,4EDM,October
14,7.088459285,6.87575392,7.005604484,4EDM,October
15,5.096660808,5.428226779,5.284227382,4EDM,October
16,3.397773872,3.377563329,3.442754203,4EDM,October
17,3.222026948,3.256936068,3.282626101,4EDM,October
18,2.343292326,2.05066345,2.28182546,4EDM,October
19,1.230228471,0.965018094,1.160928743,4EDM,October
20,0,0,0,4EDM,October
21,0,0,0,4EDM,October
22,x,y,z,4EDM,October
5,0,0,0,3EDM,October
6,5.201916496,4.273504274,4.976671851,3EDM,October
7,7.460643395,9.188034188,7.87973043,3EDM,October
8,8.145106092,9.401709402,8.44997408,3EDM,October
9,8.624229979,10.25641026,9.020217729,3EDM,October
10,9.171800137,9.401709402,9.227579057,3EDM,October
11,8.41889117,11.11111111,9.072058061,3EDM,October
12,7.939767283,10.8974359,8.657335407,3EDM,October
13,7.597535934,9.829059829,8.138932089,3EDM,October
14,8.48733744,6.623931624,8.035251426,3EDM,October
15,7.734428474,5.128205128,7.102125454,3EDM,October
16,6.707734428,5.341880342,6.376360809,3EDM,October
17,6.502395619,4.700854701,6.065318818,3EDM,October
18,5.338809035,2.777777778,4.717470192,3EDM,October
19,2.669404517,1.068376068,2.280974598,3EDM,October
20,0,0,0,3EDM,October
21,0,0,0,3EDM,October
22,0,0,0,3EDM,October
5,0.136923779,0,9.71E-02,2EDM,October
6,4.107713373,4.730105732,4.288719858,2EDM,October
7,9.675947056,9.515859766,9.629389869,2EDM,October
8,10.97672296,11.57484697,11.15067163,2EDM,October
9,11.45595618,12.91040623,11.87894481,2EDM,October
10,11.57005933,13.18864775,12.0407833,2EDM,October
11,11.06800548,11.57484697,11.21540702,2EDM,October
12,10.22364217,9.79410128,10.09872148,2EDM,October
13,8.466453674,8.069003895,8.350865836,2EDM,October
14,6.503879507,6.399554814,6.473539408,2EDM,October
15,5.294386125,4.674457429,5.114096132,2EDM,October
16,4.244637152,3.394546466,3.997410584,2EDM,October
17,2.96668188,2.281580412,2.767438097,2EDM,October
18,2.350524874,1.725097385,2.168635702,2EDM,October
19,0.958466454,0.166944908,0.728273183,2EDM,October
20,0,0,0,2EDM,October
21,0,0,0,2EDM,October
22,x,y,z,2EDM,October
5,0.2002002,0.642005503,0.399394023,1EDM,October
6,4.254254254,4.310608377,4.28315659,1EDM,October
7,7.882882883,8.529501681,8.180691365,1EDM,October
8,10.26026026,10.54723326,10.3980168,1EDM,October
9,11.66166166,11.98410272,11.81655419,1EDM,October
10,11.98698699,12.35096301,12.13331497,1EDM,October
11,12.06206206,11.4032406,11.74769316,1EDM,October
12,11.28628629,10.60837664,10.96267732,1EDM,October
13,8.583583584,8.743503516,8.662718634,1EDM,October
14,6.656656657,6.634056863,6.651976312,1EDM,October
15,5.055055055,4.646896973,4.87536152,1EDM,October
16,3.978978979,3.515744421,3.773584906,1EDM,October
17,3.228228228,3.240599205,3.236468806,1EDM,October
18,1.976976977,1.98715989,1.983197907,1EDM,October
19,0.925925926,0.856007337,0.8951935,1EDM,October
20,0,0,0,1EDM,October
21,0,0,0,1EDM,October
22,x,y,z,1EDM,October
5,0,0,0,12EDM,November
6,0,0,0,12EDM,November
7,5.873963635,5.873963635,5.873963635,12EDM,November
8,8.81543215,8.81543215,8.81543215,12EDM,November
9,10.50710796,10.50710796,10.50710796,12EDM,November
10,11.31411706,11.31411706,11.31411706,12EDM,November
11,11.68306466,11.68306466,11.68306466,12EDM,November
12,11.3215458,11.3215458,11.3215458,12EDM,November
13,11.01777333,11.01777333,11.01777333,12EDM,November
14,10.10028203,10.10028203,10.10028203,12EDM,November
15,9.118209287,9.118209287,9.118209287,12EDM,November
16,8.467278259,8.467278259,8.467278259,12EDM,November
17,1.781225827,1.781225827,1.781225827,12EDM,November
18,0,0,0,12EDM,November
19,0,0,0,12EDM,November
20,0,0,0,12EDM,November
21,0,0,0,12EDM,November
22,0,0,0,12EDM,November
5,x,y,z,11EDM,November
6,x,y,z,11EDM,November
7,x,y,z,11EDM,November
8,x,y,z,11EDM,November
9,x,y,z,11EDM,November
10,x,y,z,11EDM,November
11,x,y,z,11EDM,November
12,x,y,z,11EDM,November
13,x,y,z,11EDM,November
14,x,y,z,11EDM,November
15,x,y,z,11EDM,November
16,x,y,z,11EDM,November
17,x,y,z,11EDM,November
18,x,y,z,11EDM,November
19,x,y,z,11EDM,November
20,x,y,z,11EDM,November
21,x,y,z,11EDM,November
22,x,y,z,11EDM,November
5,0,0,0,10EDM,November
6,0,0,0,10EDM,November
7,5.873963635,5.873963635,5.873963635,10EDM,November
8,8.81543215,8.81543215,8.81543215,10EDM,November
9,10.50710796,10.50710796,10.50710796,10EDM,November
10,11.31411706,11.31411706,11.31411706,10EDM,November
11,11.68306466,11.68306466,11.68306466,10EDM,November
12,11.3215458,11.3215458,11.3215458,10EDM,November
13,11.01777333,11.01777333,11.01777333,10EDM,November
14,10.10028203,10.10028203,10.10028203,10EDM,November
15,9.118209287,9.118209287,9.118209287,10EDM,November
16,8.467278259,8.467278259,8.467278259,10EDM,November
17,1.781225827,1.781225827,1.781225827,10EDM,November
18,0,0,0,10EDM,November
19,0,0,0,10EDM,November
20,0,0,0,10EDM,November
21,0,0,0,10EDM,November
22,x,y,z,10EDM,November
5,x,y,z,9EDM,November
6,0.141944642,0,8.45E-02,9EDM,November
7,2.767920511,5.005213764,3.673986486,9EDM,November
8,6.955287438,8.133472367,7.432432432,9EDM,November
9,9.226401703,9.384775808,9.290540541,9EDM,November
10,10.78779276,11.15745568,10.9375,9EDM,November
11,12.56210078,12.6173097,12.58445946,9EDM,November
12,12.98793471,12.51303441,12.79560811,9EDM,November
13,12.56210078,11.0531804,11.95101351,9EDM,November
14,10.64584812,10.94890511,10.76858108,9EDM,November
15,9.013484741,7.612095933,8.445945946,9EDM,November
16,7.097232079,6.256517205,6.756756757,9EDM,November
17,3.974449965,3.649635036,3.842905405,9EDM,November
18,1.135557133,1.668404588,1.351351351,9EDM,November
19,0.141944642,0,8.45E-02,9EDM,November
20,0,0,0,9EDM,November
21,0,0,0,9EDM,November
22,0,0,0,9EDM,November
5,0.440649959,0.506072874,0.470053071,8EDM,November
6,3.470118425,4.183535762,3.790750569,8EDM,November
7,8.096942991,7.219973009,7.702805155,8EDM,November
8,9.804461581,9.345479082,9.59818044,8EDM,November
9,11.34673644,11.09986505,11.23578469,8EDM,November
10,12.39328009,12.14574899,12.28203184,8EDM,November
11,12.50344258,12.14574899,12.34268385,8EDM,November
12,11.81492702,11.16734143,11.52388173,8EDM,November
13,10.19003029,10.82995951,10.47763457,8EDM,November
14,8.675296062,8.906882591,8.779378317,8EDM,November
15,6.114018177,6.916329285,6.474601971,8EDM,November
16,3.662902782,3.879892038,3.760424564,8EDM,November
17,1.432112366,1.65317139,1.53146323,8EDM,November
18,5.51E-02,0,3.03E-02,8EDM,November
19,0,0,0,8EDM,November
20,0,0,0,8EDM,November
21,0,0,0,8EDM,November
22,x,y,z,8EDM,November
5,0.348735833,0.17905103,0.267379679,7EDM,November
6,2.877070619,3.133393017,2.941176471,7EDM,November
7,5.492589364,7.8782453,6.639928699,7EDM,November
8,7.933740192,10.38495971,9.135472371,7EDM,November
9,9.590235397,11.72784244,10.65062389,7EDM,November
10,10.11333915,11.72784244,10.91800357,7EDM,November
11,11.2467306,11.81736795,11.54188948,7EDM,November
12,11.50828248,11.63831692,11.58645276,7EDM,November
13,9.851787271,11.01163832,10.42780749,7EDM,November
14,10.2005231,8.863025962,9.536541889,7EDM,November
15,9.503051439,6.356311549,7.932263815,7EDM,November
16,7.759372276,3.491495076,5.704099822,7EDM,November
17,3.400174368,1.700984781,2.584670232,7EDM,November
18,0.174367916,8.95E-02,0.13368984,7EDM,November
19,0,0,0,7EDM,November
20,0,0,0,7EDM,November
21,0,0,0,7EDM,November
22,x,y,z,7EDM,November
5,x,y,z,6EDM,November
6,x,y,z,6EDM,November
7,x,y,z,6EDM,November
8,x,y,z,6EDM,November
9,x,y,z,6EDM,November
10,x,y,z,6EDM,November
11,x,y,z,6EDM,November
12,x,y,z,6EDM,November
13,x,y,z,6EDM,November
14,x,y,z,6EDM,November
15,x,y,z,6EDM,November
16,x,y,z,6EDM,November
17,x,y,z,6EDM,November
18,x,y,z,6EDM,November
19,x,y,z,6EDM,November
20,x,y,z,6EDM,November
21,x,y,z,6EDM,November
22,x,y,z,6EDM,November
5,x,y,z,5EDM,November
6,x,y,z,5EDM,November
7,x,y,z,5EDM,November
8,x,y,z,5EDM,November
9,x,y,z,5EDM,November
10,x,y,z,5EDM,November
11,x,y,z,5EDM,November
12,x,y,z,5EDM,November
13,x,y,z,5EDM,November
14,x,y,z,5EDM,November
15,x,y,z,5EDM,November
16,x,y,z,5EDM,November
17,x,y,z,5EDM,November
18,x,y,z,5EDM,November
19,x,y,z,5EDM,November
20,x,y,z,5EDM,November
21,x,y,z,5EDM,November
22,x,y,z,5EDM,November
5,0.473760933,0.44709389,0.467011129,4EDM,November
6,3.4803207,3.683202044,3.596979332,4EDM,November
7,7.744169096,7.302533532,7.57154213,4EDM,November
8,9.657434402,9.878645944,9.757551669,4EDM,November
9,11.0058309,11.58186076,11.26788553,4EDM,November
10,11.8622449,12.2418565,12.04292528,4EDM,November
11,12.06268222,12.30572706,12.18203498,4EDM,November
12,11.44314869,11.3902491,11.41693164,4EDM,November
13,10.00364431,10.6663828,10.27424483,4EDM,November
14,8.837463557,8.665105386,8.714228935,4EDM,November
15,6.705539359,6.621247605,6.667329094,4EDM,November
16,4.610058309,3.661911859,4.163354531,4EDM,November
17,1.895043732,1.532893336,1.748807631,4EDM,November
18,0.163994169,2.13E-02,9.94E-02,4EDM,November
19,5.47E-02,0,2.98E-02,4EDM,November
20,0,0,0,4EDM,November
21,0,0,0,4EDM,November
22,x,y,z,4EDM,November
5,0,0,0,3EDM,November
6,0,0,0,3EDM,November
7,5.873963635,5.873963635,5.873963635,3EDM,November
8,8.81543215,8.81543215,8.81543215,3EDM,November
9,10.50710796,10.50710796,10.50710796,3EDM,November
10,11.31411706,11.31411706,11.31411706,3EDM,November
11,11.68306466,11.68306466,11.68306466,3EDM,November
12,11.3215458,11.3215458,11.3215458,3EDM,November
13,11.01777333,11.01777333,11.01777333,3EDM,November
14,10.10028203,10.10028203,10.10028203,3EDM,November
15,9.118209287,9.118209287,9.118209287,3EDM,November
16,8.467278259,8.467278259,8.467278259,3EDM,November
17,1.781225827,1.781225827,1.781225827,3EDM,November
18,0,0,0,3EDM,November
19,0,0,0,3EDM,November
20,0,0,0,3EDM,November
21,0,0,0,3EDM,November
22,x,y,z,3EDM,November
5,0.440649959,0.506072874,0.470053071,2EDM,November
6,3.470118425,4.183535762,3.790750569,2EDM,November
7,8.096942991,7.219973009,7.702805155,2EDM,November
8,9.804461581,9.345479082,9.59818044,2EDM,November
9,11.34673644,11.09986505,11.23578469,2EDM,November
10,12.39328009,12.14574899,12.28203184,2EDM,November
11,12.50344258,12.14574899,12.34268385,2EDM,November
12,11.81492702,11.16734143,11.52388173,2EDM,November
13,10.19003029,10.82995951,10.47763457,2EDM,November
14,8.675296062,8.906882591,8.779378317,2EDM,November
15,6.114018177,6.916329285,6.474601971,2EDM,November
16,3.662902782,3.879892038,3.760424564,2EDM,November
17,1.432112366,1.65317139,1.53146323,2EDM,November
18,5.51E-02,0,3.03E-02,2EDM,November
19,0,0,0,2EDM,November
20,0,0,0,2EDM,November
21,0,0,0,2EDM,November
22,x,y,z,2EDM,November
5,0.819672131,0.926829268,0.906266183,1EDM,November
6,4.866803279,4.097560976,4.401864319,1EDM,November
7,9.272540984,7.463414634,8.311755567,1EDM,November
8,10.86065574,9.902439024,10.38322113,1EDM,November
9,11.47540984,11.80487805,11.70378042,1EDM,November
10,11.98770492,12.19512195,12.11807354,1EDM,November
11,12.19262295,12.58536585,12.42879337,1EDM,November
12,10.80942623,11.36585366,11.08234076,1EDM,November
13,9.477459016,10.43902439,9.917141378,1EDM,November
14,7.633196721,8.780487805,8.15639565,1EDM,November
15,5.020491803,6.390243902,5.722423615,1EDM,November
16,3.534836066,3.073170732,3.314344899,1EDM,November
17,1.639344262,0.975609756,1.346452615,1EDM,November
18,0.256147541,0,0.129466598,1EDM,November
19,0.153688525,0,7.77E-02,1EDM,November
20,0,0,0,1EDM,November
21,0,0,0,1EDM,November
22,x,y,z,1EDM,November
5,x,y,z,12EDM,December
6,x,y,z,12EDM,December
7,x,y,z,12EDM,December
8,x,y,z,12EDM,December
9,x,y,z,12EDM,December
10,x,y,z,12EDM,December
